Avatar	45	45	30	40	45	45	35	25	b
Felicia	40	10	35	30	40	55	15	35	f
Jakob	50	30	15	40	35	45	25	25	m
Kaze	55	40	0	45	65	20	20	35	m
Azura	25	50	25	60	60	40	15	35	f
Silas	40	45	5	50	40	40	40	25	m
Shura	30	25	10	20	35	30	15	35	s
Izana	45	15	35	55	30	45	35	35	s
Mozu	30	40	5	50	55	45	35	30	f
Elise	30	5	65	25	55	70	15	40	f
Arthur	50	45	0	55	35	5	45	20	m
Effie	35	60	0	35	50	50	35	30	f
Odin	55	35	30	55	35	60	40	20	m
Niles	40	35	20	40	50	30	30	40	m
Nyx	30	5	50	35	50	20	15	30	f
Camilla	40	50	25	50	55	25	35	45	f
Selena	40	30	5	25	45	30	45	30	f
Beruka	45	30	10	55	30	45	40	25	f
Laslow	50	45	0	45	30	55	35	25	m
Peri	30	50	5	30	50	35	25	45	f
Benny	50	40	0	50	10	35	55	45	m
Charlotte	65	55	0	35	50	45	20	5	f
Leo	45	25	55	35	45	45	30	45	m
Keaton	60	60	0	20	35	30	50	25	m
Xander	45	50	5	40	35	60	40	15	m
Flora	35	40	20	45	30	35	30	30	s
Rinkah	20	25	15	50	45	35	45	20	f
Sakura	45	30	50	40	40	55	30	20	f
Hana	25	55	10	45	55	25	20	30	f
Subaki	55	30	20	50	20	25	45	5	m
Saizo	40	50	45	60	30	55	45	10	m
Orochi	35	5	65	50	15	35	25	45	f
Hinoka	45	45	15	40	45	40	35	40	f
Azama	55	50	20	40	45	40	40	20	m
Setsuna	30	20	0	30	60	30	15	40	f
Hayato	50	30	40	30	45	60	40	20	m
Oboro	30	40	20	40	40	40	40	30	f
Hinata	55	35	0	25	15	45	45	15	m
Takumi	50	35	0	60	40	45	35	20	m
Kagero	30	65	0	20	50	30	25	40	f
Reina	40	45	5	20	45	10	20	10	s
Kaden	45	40	10	25	45	50	35	40	m
Ryoma	50	45	0	50	45	40	35	25	m
Scarlet	30	45	20	40	50	40	25	20	s
Yukimura	25	25	5	40	15	30	25	30	s
Anna	35	30	55	30	40	70	20	45	s

Kana	30	35	30	40	45	45	25	25	c
Shigure	35	45	5	45	35	25	35	25	c
Dwyer	45	45	30	20	30	30	30	35	c
Sophie	35	35	10	55	50	35	25	35	c
Midori	45	35	5	55	35	50	30	20	c
Siegbert	40	45	5	45	45	45	35	20	c
Forrest	55	15	65	20	35	25	25	55	c
Ignatius	40	50	0	40	30	55	45	35	c
Velouria	50	50	0	40	40	35	45	30	c
Percy	30	30	5	45	40	75	55	15	c
Ophelia	45	15	45	40	45	65	20	30	c
Soleil	25	60	0	35	35	45	35	40	c
Nina	30	45	30	35	40	50	25	45	c
Shiro	50	50	0	40	35	35	45	30	c
Kiragi	45	40	0	45	50	45	40	15	c
Asugi	40	45	50	55	45	50	30	20	c
Selkie	35	30	15	35	55	60	30	50	c
Hisame	50	40	0	40	40	25	30	20	c
Mitama	45	40	35	45	50	50	30	20	c
Caeldori	55	35	15	40	40	45	35	20	c
Rhajat	40	15	60	10	50	30	25	35	c
